Title,Description,Tags,Notes,Categories,Link
Congressional Publications (ProQuest),"Congressional documents from 1789 to the present, with much of the material from the 1980's forward available full-text.  Includes legislative histories, laws, regulation.","legislative history, laws, regulations, congressional serials",Formerly called LexisNexis Congressional.,,http://proxy-um.researchport.umd.edu/login?url=http://www.lexis-nexis.com/congcomp
Correspondence Tables Between SIC and NAICS,"U.S. Census Bureau.   To facilitate time series use, the U.S. Census Bureau has prepared correspondence tables of NAICS to SIC. See also: SIC Codes (from U.S. Department of Labor) -- http://www.osha.gov/pls/imis/sicsearch.html and NAICS -- http://www.census.gov/eos/www/naics/http://www.osha.gov/pls/imis/sicsearch.html","industry classification, NAICS, SIC",,INDUSTRY,http://www.census.gov/epcd/www/naicstab.htm
Corruption by Country/Territory (Transparency International),"From Transparency International, a ""global civil society organization leading the fight against corruption."" The Global Corruption Barometer explores general public opinion around the world on corruption. Note: Formerly called Global Corruption Report.","ethics, international business",,,http://www.transparency.org/country
Country at a Glance Tables,From the World Bank. Presents key indicators tracing the trends in social and economic development from the last three decades.,"statistics: international, international business",,DEMOGRAPHICS AND STATISTICS,http://proxy-um.researchport.umd.edu/login?url=http://go.worldbank.org/N45X2XWIC0
Country Commercial Guides,"United States Commercial Service - U.S. Department of Commerce. Comprehensive look at a country's commercial environments, using economic, political and market analysis. Select ""Country Commercial Guides"" in the ""Report Type"" field.","country background, doing business in, international business",,COUNTRY RESEARCH,http://www.buyusainfo.net/adsearch.cfm?search_type=int&loadnav=no
Country Data,"Economic, financial, political and social data for over 140 countries, in most cases back to 1984. Country Data is only source for current and historical risk ratings for both the Political Risk Services and International Country Risk Guide rating systems. Note: You must turn off your pop-up blocker or permit pop-ups from this site in order to retrieve data.","risk, international business, country background",,COUNTRY RESEARCH,http://proxy-um.researchport.umd.edu/login?url=http://www.prsgroup.com/prsgroup_shoppingcart/cdSub4.aspx
Country Studies,"From the Federal Research Division of the Library of Congress. On-line versions of Country Studies, covering 102 countries and regions. Country Profiles are also available.",country background,,COUNTRY RESEARCH,http://lcweb2.loc.gov/frd/cs/cshome.html
County Business Patterns (CPB),U.S. Census Bureau. County Business Patterns (CBP) is an annual series providing subnational economic data by industry.,"statistics: united states, business planning, economics",,DEMOGRAPHICS AND STATISTICS;ECONOMICS,http://www.census.gov/econ/cbp/index.html
CQ Researcher,"Provides comprehensive analysis of popular topics, including history, current status, relevant pro & con arguments, bibliographies, contact information.","benefits, compensation, corporate culture, economics, employment, ethics, exports, imports, globalization, international trade, labor economics, labor relations, taxation",,ECONOMICS,http://proxy-um.researchport.umd.edu/login?url=http://library2.cqpress.com/cqresearcher
CREDO,"Online versions of 500+ published reference works, including general & specialist dictionaries and encyclopedias.","encyclopedia, reference, research",,,http://proxy-um.researchport.umd.edu/login?url=http://www.credoreference.com
