Title,Description,Tags,Notes,Categories,Link
International Comparison Program,"From the World Bank. Provides a collection of comparative price data and detailed expenditure values of countries gross domestic products (GDP), and purchasing power parities (PPPs) estimates of the worlds economies.",gdp,,,http://proxy-um.researchport.umd.edu/login?url=http://www.worldbank.org/data/icp
International Financial Statistics,"From the International Monetary Fund. All aspects of international and domestic finance, with history to 1948. Includes full-text statistical data from 1996-present.",statistics: international,,DEMOGRAPHICS AND STATISTICS,http://proxy-um.researchport.umd.edu/login?url=http://www.imfstatistics.org
Joint External Debt Hub (JEDH),From the World Bank. Provides external debt data and selected foreign assets from international creditor/market and national debtor sources.,"debt, country data, statistics: international, economics",,COUNTRY RESEARCH;DEMOGRAPHICS AND STATISTICS;ECONOMICS,http://proxy-um.researchport.umd.edu/login?url=http://www.jedh.org/jedh_home.html
JSTOR,"Electronic archive of core journals in the humanities, social sciences, and sciences. Includes complete runs of journals with full-text of all articles published prior to the most current five years.","management, marketing, operations management, organization theory, public relations, decision theory, social entrepreneurship, technology, human resource management, industry analysis models, labor economics, labor relations, leadership",,ECONOMICS;ENTREPRENEURSHIP;INDUSTRY;MARKETING,http://proxy-um.researchport.umd.edu/login?url=http://www.jstor.org/
Kwintessential Country Profiles,"Guide to international etiquette, culture, customs and protocol.",culture,,,http://www.kwintessential.co.uk/resources/country-profiles.html
LANIC,"Maintained by the University of Texas at Austin. The Latin American Network Information Center. Provides access to country information for Mexico, Central America, South America and the Caribbean.","doing business in, culture, international business",,,http://lanic.utexas.edu/las.html
Laws and Regulations: General Reference Sources,"From USA.Gov. Links to federal, state and local laws and regulations.",regulations,,,http://www.usa.gov/Topics/Reference_Shelf/Laws.shtml
Legal Information Institute at Cornell University,The Legal Information Institute (LII) provides electronic versions of core materials in numerous areas of the law both online and packaged for download.,"tort, regulations",,,http://www.law.cornell.edu/
LexisNexis Academic,"Time covered varies by source. Covers a wide range of business and business-related topics. Almost all full-text. Covers business topics from local, regional & national newspapers, some trade publications, business magazines, SEC filings, some reference sources, key accounting sources, legal information as well as SWOT analysis. To access SWOT information, click on Companies and then Company Profiles. Type name of company in first box, select ""company name"" from drop down box; in second box, type SWOT. To access business news, click on News and then Business.","accounting, annual reports, biographical information, foreign language sources, labor relations, mergers & acquisitions, news",Does NOT include access the Wall Street Journal (WSJ). The WSJ is contained in Factiva.,COUNTRY RESEARCH,http://proxy-um.researchport.umd.edu/login?url=http://www.lexisnexis.com/us/lnacademic
LexisNexis State Capital,"Full-text of bills and laws, constitutions, proposed and enacted regulations, legislature membership, newspapers of record, for all 50 states. May be searched by individual state, any combination of states, or all 50 states at once.",regulations,,,http://proxy-um.researchport.umd.edu/login?url=http://www.lexisnexis.com/stcapuniv
Logistics Performance Index (LPI),An interactive benchmarking tool created to help countries identify the challenges and opportunities they face in their performance of trade logistics and what they can do to improve their performance.,logistics,,"LOGISTICS, BUSINESS & PUBLIC POLICY","http://web.worldbank.org/WBSITE/EXTERNAL/TOPICS/EXTTRANSPORT/EXTTLF/0,,contentMDK:21514122~menuPK:3875957~pagePK:210058~piPK:210062~theSitePK:515434,00.html"
Making of the Modern World: The Goldsmiths-Kress Library of Economic Literature 1450-1850," The most comprehensive and valuable collection in existence for researching the literature of economics and business dating from the last half of the 15th century to the early 20th century. The collection combines two pre-eminent collections: the Goldsmiths' Library of Economic Literature at the University of London, England, and the Kress Library of Business and Economics at the Harvard University Graduate School of Business Administration.",,,DEMOGRAPHICS AND STATISTICS,http://researchport.umd.edu/V/N9TF6DDJ5Q69HV4XY44IQQNER1KVEHDAP2KPYJV12I4U43U1EA-39686?func=native-link&resource=UMD08056
Market Research Library,"From the U.S. Commercial Service. Provides market research reports searchable by industry, region or country.Note: You must create a free account in order to access these reports.","accounting, annual reports, biographical information, foreign language sources, labor relations, mergers & acquisitions, news, marketing",,COUNTRY RESEARCH;MARKETING,http://www.buyusainfo.net/
Media Freedom: Freedom House - Nations in Transit - Country Reports," Comprehensive, comparative, and multidimensional study of reform in the former Communist states of Europe and Eurasia - tracking the reform record. [Note: Formerly called Freedom of the Press.]",,,,http://www.freedomhouse.org/report/nations-transit/nations-transit-2012
Mediamark (MRI+),"Use to find detailed information about the demographics and lifestyles of consumers and media audiences. Information includes consumer demographics, psychographics/lifestyles, product and brand usage, and media preferences. (Also available SmithApps)Note: First time users must register using UMD email domain. To register, go to Mediamark, click on Register for a FREE Account, and follow instructions.A brief tutorial is available from Mediamark Research.","consumer analysis, lifestyles",,,http://proxy-um.researchport.umd.edu/login?url=http://www.mriplus.com/
Mergent Online - Access via SmithApps,"Offers a wealth of detail including business description, history, property, subsidiaries, officers and directors, long-term debt and capital stock.","financial information, company profiles, competitors",,COMPANY;FINANCE AND INVESTMENT,http://smithapps.rhsmith.umd.edu/Citrix/MyApps/auth/login.aspx
Mergent WebReports- Access via SmithApps,"Offers a comprehensive library of documents that includes company annual reports, prospectuses, industry reports and other company related documents. Also covers 50,000 global companies from over 100 countries.","company profiles, competitors, industry overview, industry trends",,COMPANY;INDUSTRY,http://smithapps.rhsmith.umd.edu/Citrix/MyApps/auth/login.aspx
Metropolitan New Economy Index,"Provides metropolitan rankings list by population, income, unemployment rate, federal funds and grants, and housing, etc. Report uses a set of 16 economic indicators to assess the 50 largest metropolitan areas' progress.",economic index,,ECONOMICS,http://www.research.fsu.edu/techtransfer/documents/mnei.pdf
Mintel,"Provides full-text reports on a wide range of market research studies, analyzing market sizes and trends, market segmentation, consumer attitudes and purchasing habits, opportunities, weaknesses and the future of the market. Note: To download reports, authorized users are required to create a personal account.","advertising, competitors, consumer analysis, industry overview, industry trends, lifestyles, market size, marketing",,INDUSTRY;MARKETING,http://proxy-um.researchport.umd.edu/login?url=http://academic.mintel.com/sinatra/oxygen_academic/academic_logon/
Morningstar,"Licensing restrictions limit use to 4 simlutaneous users. If you are unable to access this database, please try again later. [Date range: Historical data back to 1996]Find a stock or fund to meet your needs, research current or prospective holdings or see how your investments work together. Morningstar's data reports cover more than 20,000 securities.","analyst reports, company profiles, finance, company, investment & securities, mutual funds, stocks trades quotes",,COMPANY;FINANCE AND INVESTMENT,http://proxy-um.researchport.umd.edu/login?url=http://library.morningstar.com/
NASDAQ,The official web site for the Nasdaq electronic stock market.,stock exchange,,,http://www.nasdaq.com/
National Bureau of Economic Research (NBER),"""Nation's leading nonprofit economic research organization."" -- Provides current economic indicators. Concentrates on developing ""new statistical measurements, assessing the effects of public policies on the U.S. economy, estimating quantitative models of economic behavior, assessing the effects of public policies on the U.S. economy, and projecting the effects of alternative policy proposals.""",economic indicators,,,http://www.nber.org/
National Center for Charitable Statistics (NCCS),"National clearinghouse of data on the nonprofit sector in the United States.""""",nonprofits,,,http://nccs.urban.org/
National Council of Nonprofits,"The National Council of Nonprofits serves as the national voice for its nonprofit members before Congressand within the Administration, promoting the interests of the nonprofit community. The council conducts research and analyzes information to improve the public's understanding about nonprofits.",nonprofits,,,http://www.councilofnonprofits.org/salocator
National Newspapers,"Full text articles from the Wall Street Journal, Christian Science Monitor, The New York Times, The Sun (Baltimore), and The Washington Post.",wall street journal,,,http://proxy-um.researchport.umd.edu/login?url=http://proquest.umi.com/login?COPT=SU5UPTAmVkVSPTImREJTPUc1&clientId =41143
NationMaster.com,"National statistics for just about any country in the world, presented in over 20 categories and 10 regions, including Asia & South East Asia.","economic indicators, globalization",,ECONOMICS,http://www.nationmaster.com/index.php
NBER Working Papers, Full text of the working papers of the National Bureau of Economic Research.,,,,http://www.nber.org/custom?#navDiv=1
Netpreneur Program,"Information about Potomac KnowledgeWay's program for entrepreneurs. Get informed aboutnetworking events, news, and more. Visit the Netpreneur Exchange, a virtual meeting place for entrepreneurs, to find information on funding and finance and other necessities for entrepreneurs.",small business,,,http://netpreneur.com/
New Palgrave Dictionary of Economics,"Considered one of the most extensive and authoritative economics reference resources available. It contains over 1,850 articles by more than 1,500 of the world's leading economists.",dictionaries,,,http://proxy-um.researchport.umd.edu/login?url=http://www.dictionaryofeconomics.com/advanced_search
Nonprofits: USA.gov,"""information and services for nonprofits, including grants, loans, assistance, taxes, management and more"".",nonprofits,,,http://www.usa.gov/Business/Nonprofit.shtml
North American Industry Classification System (NAICS),"[U.S. Census Bureau]NAICS is the current industry classification that was developed jointly by the U.S., Canada, and Mexico to provide new comparability in statistics about business activity across North America. There is a 2002 version of NAICS and the initial 1997 version of NAICS.",industry classification,,INDUSTRY,http://www.census.gov/eos/www/naics/
NYSE - New York Stock Exchange,Official website of the New York stock exchange.,stock exchange,,,http://nyse.nyx.com/
Occupational Outlook Handbook,"By the Bureau of Labor Statistics, this online handbook provides information on starting salaries within a variety of occupational categories as well as information on working conditions, nature of the work, training, and more.","jobs, employment, training",,,http://stats.bls.gov/ooh/
OffStats- Official Statistics on the Web," Collection of ""free statistics from official sources"" from around the world. Can be searched by country, region and topic or industry.",,,,http://www.offstats.auckland.ac.nz/
One World- Nations Online,"A portal to the countries of the world - each country listed contains a country profile with facts and figures, geography, flag, statistics, maps, images, plus links to sources that provide you with information about a nation, such as: official government web sites, newspapers, tourism and visa information, travel advice, etc.",country background,,,http://www.nationsonline.org/
Opposing Viewpoints in Context, Fulltext database covering social issues with topic overviews and pro/con viewpoints. Sources include news journal articles magazines media maps websites and statistics.,,,,http://proxy-um.researchport.umd.edu/login?url=http://infotrac.galegroup.com/itweb/umd_um?db=OVIC
Overview of BLS Statistics by Industry, An overview of Bureau of Labor Statistics data.,,,,http://www.bls.gov/bls/industry.htm
Oxford Encyclopedia of Economic History," Fully searchable text of the encyclopedia, including over 900 articles from leading scholars with extensive bibliographies. Covers all time periods of human history and includes strong coverage of individual countries, regions, industries and economic concepts.",,,,http://proxy-um.researchport.umd.edu/login?url=http://www.oxfordreference.com/view/10.1093/acref/9780195105070.001.0001/acref-9780195105070
Panel Study of Income Dynamics (PSID),"The Panel Study of Income Dynamics - PSID - is the longest running longitudinal household survey in the world. The PSID began in 1968 with a nationally representative sample of over 18,000 individuals living in 5,000 families in the United States. Information on these individuals and their descendants has been obtained through various data collection efforts. Data includes employment, income, wealth, expenditures, health, marriage, childbearing, child development, philanthropy, education, and numerous other topics. A majority of data is publicly available for free.","polls, surveys",,,http://psidonline.isr.umich.edu/default.aspx
Patents & Trademarks,"[Compiled by James C. Miller, Patent & Trademark Librarian at UMD]  Lists University of Maryland collections, Internet resources, and DVD/CD-ROM databases on patent & trademark.",patents & trademarks,,,http://lib.guides.umd.edu/patent_tm
Population and Household,"[U.S. Census Bureau]Statistics on births, education, income, immigration, income, industry, language use, occupation, etc.","population, housing data",,,http://www.census.gov/people/
Porter's Five Forces: Assessing the Balance of in a Business Situation,Explanation of Michael Porter's Five Forces,"business plans, business planning, competitors, human resource management, industry analysis models",,INDUSTRY,http://www.mindtools.com/pages/article/newTMC_08.htm
PortFocus - Ports Harbours Marinas Worldwide,Comprehensive listing of marine transportation links by country.,"transportation modes, ports",,,http://portfocus.com/
PricewaterhouseCoopers - MoneyTree Report,"The MoneyTree Report is a quarterly study of venture capital investment activity in the United States. As a collaboration between PricewaterhouseCoopers and the National Venture Capital Association based upon data from Thomson Reuters, it is the only industry-endorsed research of its kind. The MoneyTree Report is the definitive source of information on emerging companies that receive financing and the venture capital firms that provide it.","business financing, financing, venture capital",,FINANCE AND INVESTMENT,http://www.pwcmoneytree.com/MTPublic/ns/index.jsp
PsycInfo,"[Full-text, Date range : 1987 - present]PsycINFO provides one of the most comprehensive indexes in psychology and psychology-related fields. It provides citations and abstracts to journal articles, book chapters and books, technical reports, and dissertations. Some citations have links to the full-text articles in PsycARTICLES and in the Psychology & Behavioral Sciences Collection.",leadership,,,"http://proxy-um.researchport.umd.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=PSYH"
Quarterly External Debt Statistics (QEDS/SDDS/GDDS),Provides detailed external debt data that are published individually by countries that subscribe to the IMF's Special Data Dissemination Standard (SDDS) as well as GDDS participating countries that are in a position to produce the external debt data prescribed by the SDDS.,"debt, country data",,COUNTRY RESEARCH,"http://web.worldbank.org/WBSITE/EXTERNAL/DATASTATISTICS/EXTDECQEDS/0,,menuPK:1805431~pagePK:64168427~piPK:64168435~theSitePK:1805415,00.html"
RAILindustry.com,"An A-Z index of industrial rail companies and organizations, listings of suppliers & vendors, and links to industrial railroad related web sites.","transportation modes, trains",,,http://www.railindustry.com/
RDS Business Reference Suite,"[Full-text, time coverage varies by title.] Provides access to three important database - RDS Business & Industry (covers industry trade journals,magazines and newspapers); RDS Business & Management Practices (covers journals and magazines dealing with business and management issues) and RDS Tablebase (provides business statistics, i.e., market share, market size, advertising expenditures, etc.).","industry research, company research, product, country research, economics, career, marketing, logistics, advertising, analyst reports, company profiles, competitors, corporate culture, human resource management, investment and securities, labor relations, management, market share, mergers & acquisitions, product development, promotion, public relations, research development",,"CAREER;COMPANY;COUNTRY RESEARCH;ECONOMICS;INDUSTRY;LOGISTICS, BUSINESS & PUBLIC POLICY;MARKETING;PRODUCT","http://proxy-um.researchport.umd.edu/login?url=http://search.rdsinc.com/texis/rds/sessions?userid=umd&products=BNI,TBL,BMP"
Reference Universe,"Best place to start research for an overview or background information on a topic. A web based research tool that provides a single search across more than 43,000 specialized subject encyclopedias and scholarly compendia. The database contains more than 26 million citations to both print and e-versions from all major and minor reference publishing houses.","encyclopedia, reference, research",,,http://proxy-um.researchport.umd.edu/login?url=http://refuniv.odyssi.com/cgi-bin/phtml?newsearch.htm
RefWorks,Users must sign up for an individual account. Online bibliographic management program allows users to create a personal database of references and generate bibliographies in a variety of formats.For information on how to use and log into RefWorks use - RefWorks: Online Tool for Managing Citations,"bibliographic management, citing",,,http://proxy-um.researchport.umd.edu/login?url=https://www.refworks.com/refworks2/?r=authentication::init&groupcode=RWUMCollegePark
Regional Business News (EBSCO),"[Some full-text, Date range: varies]This database provides comprehensive full text coverage for regional business publications. Regional Business News incorporates coverage of 75 business journals, newspapers and newswires from all metropolitan and rural areas within the United States. This database is updated on a daily basis","demographics & statistics, regional news, news",,DEMOGRAPHICS AND STATISTICS,http://proxy-um.researchport.umd.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip&group=main&profile=ehost&defaultdb=bwh
Regional Economic Conditions (RECON),"From the Federal Deposit Insurance Corporation (FDIC). Provides ""an overview of economic conditions in the United States,"" offering 40,000-plus charts, maps, and tables of data at the state, Metropolitan Statistical Area (MSA), and county levels. Select the state of interest first, then select MSA and or/County of interest. Areas covered are Industry Activity, Labor Markets, Income, and Real Estate Activity.","economics, demographics & statistics",,,http://www2.fdic.gov/recon/index.asp
Regulations.gov,"Online access to U.S. government regulations from nearly 300 federal agencies. Browse by Category, or by topic.",regulations,,,http://www.regulations.gov/#!home
Reuters 3000 XTRA (Access via Smithapps),"Contains current and historical financial data on individual companies, stock market indices, fixed-incomesecurities, currencies, commodities, and derivatives for both international and domestic markets, as well as business and financial news.","finance, investment, stocks, business news, financial news, news",,FINANCE AND INVESTMENT,http://smithapps.rhsmith.umd.edu/Citrix/MyApps/auth/login.aspx
RFE: Resources for Economists on the Internet,"Organized links to valuable online resources in economics from the American Economics Association, including data resources, professional contacts for students and scholars, and reference and teaching resources.","economics, demographics & statistics, economic data: united states, economic data: international",,DEMOGRAPHICS AND STATISTICS;ECONOMICS,http://www.rfe.org
RIA Checkpoint,"Accounting, auditing and tax database that provides access to a variety of tax information, including complete tax law, analysis, journals, news, cases, and rulings. It covers all aspects of tax law.Coverage varies, but most is from 1990 to the present.","taxation, accounting, auditing",,COUNTRY RESEARCH,http://proxy-um.researchport.umd.edu/login?url=https://checkpoint.riag.com/login?iploc=UNTYOFMANDCOGEPARK
Schwab Foundation for Social Entrepreneurship,"""Purpose to advance social entrepreneurship and to foster social entrepreneurs as an important catalyst for societal innovation and progress."" Publications link provides access to reports and case studies dealing with social entrepreneurship.","social entrepreneurship, entrepreneurship research",,ENTREPRENEURSHIP,http://www.schwabfound.org/sf/index.htm
Science Citation Index Expanded - Web of Science,"A multidisciplinary index covering the journal literature of the sciences. It indexes more than 5,700 majorjournals across 164 scientific disciplines. The best database for finding what papers have cited other papers. Cited references can be traced forward in time.","cited references, science",,,http://proxy-um.researchport.umd.edu/login?url=http://webofknowledge.com/?DestApp=WOS&editions=SCI
Small Business Administration,"Small Business Administration provides information about how to start, finance, and manage small business","small business, business plans, business planning",,,http://www.sba.gov/
Social Enterprise Alliance,"Potomac, MD based organization for nonprofits involved in entrepreneurship; provides technical help and education.",social entrepreneurship,,ENTREPRENEURSHIP,http://www.se-alliance.org
Social Science Citation Index - Web of Science,Virtually the only index for finding which papers have cited other papers. Best for the Social Sciences.,"economics, cited references, social science, business, entrepreneurship, ethics, leadership, management",,ECONOMICS;ENTREPRENEURSHIP,http://proxy-um.researchport.umd.edu/login?url=http://webofknowledge.com/WOS
Source OECD,"SourceOECD is the online library of the Organisation for Economic Co-operation and Development. It comprises 20 Book collections by theme, including monographs and reports; 24 periodicals; a reference title; and the OECD statistical databases.","economics, globalization, economic indicators, statistics: international",,DEMOGRAPHICS AND STATISTICS;ECONOMICS,http://proxy-um.researchport.umd.edu/login?url=http://www.oecd-ilibrary.org
Springer eBooks (2005-2011),"Accurate reproductions of over 30,000 Springer print book publications, with search capabilities and bookmarks, also includes Springer journals.","ebooks, ejournals",,,http://proxy-um.researchport.umd.edu/login?url=http://www.springerlink.com/
Standard & Poor's Net Advantage,"Provides full-text reports, forecast, analysis, statistics and ratios of major industries. Coverage is forcurrent and up to 4 years, depending on the industry.","industry research, finance, investment, competitors, industry trends, industry ratios, securities, stocks",,FINANCE AND INVESTMENT;INDUSTRY,http://proxy-um.researchport.umd.edu/login?url=http://www.netadvantage.standardpoor.com/
Standard & Poor's,"Standard & Poor's is a major publisher of investment data, including bond ratings. (MUST REGISTER TO USE - FREE SUBSCRIPTION.) For bond ratings, after registration, click on United States, under Task Selector, select - Find a rating. Follow directions to get available S&P ratings.","finance, investment, bonds, stocks, financial information",,FINANCE AND INVESTMENT,http://www.standardandpoors.com/home/en/us
Standard Industrial Classification System (SIC),[U.S. Census Bureau]SIC was the industry classification for many years and was replaced by the NAICS system in 1997.The classification is still used in some business databases.,"industry classification, industry",,INDUSTRY,http://www.osha.gov/pls/imis/sicsearch.html
State Data Centers,Provides access to U.S. Census Bureau data and information through a wide network of agencies in each state.,demographics & statistics,,DEMOGRAPHICS AND STATISTICS,http://www.census.gov/sdc/
Statistical Abstract of the United States,"The authoritative and comprehensive summary of statistics on the social, political, and economic organization of the United States.",demographics & statistics,,DEMOGRAPHICS AND STATISTICS,http://proxy-um.researchport.umd.edu/login?url=http://www.census.gov/compendia/statab/
Statistical Classification of Domestic and Foreign Commodities Exported from the United States (Schedule B),"By the U.S. Census Bureau, the Statistical Classification of Domestic and Foreign Commodities, also known as Schedule B, is a 10-digit identification code assigned to every product exported from the United States. It contains the 9,000 export codes used to identify commodities. Schedule B has the official schedule of commodity classifications to be used by shippers in reporting export shipments from the United States and in compiling the official statistics on exports of merchandise from the United States. The export commodity classification system presented in this schedule reflects the adoption of the Harmonized Commodity Description and Coding System (Harmonized System).",product codes,,PRODUCT,http://www.census.gov/mp/www/cat/foreign_trade/schedule_b_--_statistical_classification_of_domestic_and_foreign_commodities_exported_from_the_unite.html
Statistical DataSets (ProQuest),"Provides access to more than 14 billion data points from licensed and public domain datasets, including time series data. Select subjects and variables of interest, and view your data in side-by-side tables and charts, and perform basic statistical analysis of results. Please use browsers other than Firefox for best results. NOTE: Formerly called LexisNexis Statistical Datasets.",consumer price index,,,http://proxy-um.researchport.umd.edu/login?url=http://web.lexis-nexis.com/statuniv?landingpage=datasets
Statistical Insight (ProQuest),"Provides access to statistical reports produced by the U.S. government, major international and intergovernmental organizations, professional and trade organizations, state government agencies, and universities.",,Formerly called LexisNexis Statistical Insight.,,http://proxy-um.researchport.umd.edu/login?url=http://www.lexisnexis.com/statuniv
Statistical Sites of the World Wide Web,"Bureau of Labor Statistics, US and other country statistical web sites.",demographics & statistics,,DEMOGRAPHICS AND STATISTICS,http://www.bls.gov/bls/other.htm
Tax Policy Center,"From the Urban Institute and Brookings Institution, this site provides a comprehensive overview of US tax policy for the public, government officials, journalists, and researchers. Its major projects include ""revenue and distribution estimates for the latest tax proposals and bills."" It also provides issue briefs, discussion papers, summaries of facts published by government agencies, a primer on the tax system, and a blog discussing tax legislation.",taxation,,,http://www.taxpolicycenter.org/
Testing and Education Reference Center, Testing & Education Reference Center provides users with indepth information on colleges and universities graduate and professional programs distance learning corporate training available scholarships and awards and preparatory entrance tests. Available online practice tests include entrance exams certification and licensing tests. Graduate school online pactice tests include GRE LSAT MCAT and MAT. There are even international tests covering TOEFL and TOEIC. The Career Module consists of the Career Assessment the Resume Builder and the Virtual Careers Library. The Career Assessment helps users map a career path through a brief multiplechoice exam which matches their answers to job categories industries and occupations that are most suitable to them. The Resume Builder helps users build outstanding appealing resumes based on the stage of their career and type of position they are applying for. The Virtual Careers Library provides resume cover letter and interviewing tips.,,,,http://proxy-um.researchport.umd.edu/login?url=http://infotrac.galegroup.com/itweb/umd_um?db=TERC
ThomasNet,"A directory of manufacturers, distributors, and suppliers.","manufacturers, distributors",,,http://www.thomasnet.com/
Thomson Reuters SDC Platinum (Access via Finance folder in SmithApps),"Provides a common front end retrieval system for a collection of databases. They contain detailed information on new issues, mergers and acquisitions, syndicated loans, private equity, and more for the global financial marketplace. Click here for more information. https://smithapps.rhsmith.umd.edu/Citrix/MyApps/auth/login.aspxhttps://smithapps.rhsmith.umd.edu/Citrix/MyApps/auth/login.aspx","financial information, mergers & acquisitions",,,http://smithapps.rhsmith.umd.edu/Citrix/MyApps/auth/login.aspx
TIDE'S Directory of Transportation Information,"Provides a directory of ground and air transportation resources, as well as listings of organizations and companies involved in the transportation industry. [The New Jersey TIDE Center is a multi-disciplinary, multi-university research center comprised of the New Jersey Institute of Technology, Princeton University, and Rutgers University.]",transportation modes,,,http://users.cs.jmu.edu/bernstdh/web/tide/index.html
Top U.S. Trading Partners,"Ranked by U.S. Total Export Value for Goods (in millions of U.S. dollars). The Office of Trade and Industry Information (OTII), as part of the International Trade Administration, seeks to provide a solid foundation of trade and industry data to support the development of national trade policies.rankings","export, import, international trade, rankings",,,http://www.trade.gov/mas/ian/build/groups/public/@tg_ian/documents/webcontent/tg_ian_003364.pdf
U.S. Census Bureau,"Leading source of quality data about the nation's people and economy. It provides social, demographic, housing and economic statistics mainly for the U.S. Click on headings top of screen to find data sources of interest.","business planning, demographics & statistics, economic indicators",,DEMOGRAPHICS AND STATISTICS;ECONOMICS,http://www.census.gov/
U.S. Commercial Service,"The U.S. Commercial Service is the trade promotion arm of the U.S. Department of Commerces International Trade Administration. U.S. Commercial Service trade professionals in over 100 U.S. cities and in more than 75 countries help U.S. companies get started in exporting or increase sales to new global markets. For details, see: Information for Exporters of U.S. Goods and Services http://export.gov/worldwide_us/index.asp and the Market Research Library http://www.buyusainfo.net/adsearch.cfm?search_type=int&loadnav=no.","export, trade, trade agreements, international trade",,,http://www.trade.gov/cs/index.asp
U.S. Copyright Office,"By the Library of Congress, it provides online copyright records cataloged since 1978, copyright law, key publications and congressional testimony, etc.",copyright,,,http://www.copyright.gov/
U.S. Customs and Borders Protection,"It provides export documents, licenses and requirememnts. It is one of the Department of Homeland Securitys largest and most complex components, with a priority mission of keeping terrorists and their weapons out of the U.S. It also has a responsibility for securing and facilitating trade and travel while enforcing hundreds of U.S. regulations, including immigration and drug laws.","exports, international trade, security, regulations, laws",,,http://www.cbp.gov/xp/cgov/trade/basic_trade/export_docs/
U.S. Economy at a Glance: Perspectives from the U.S. Department of Commerce, Bureau of Economic Analysis Accounts,"The BEA produces some of the most closely watched economic statistics that influence decisions of government officials, business people, and individuals. These statistics provide a comprehensive, up-to-date picture of the U.S. economy. The Regional link provides wage employment compensation personal income per capita personal income statistics etc. at the state county and metropolitan level.","statistics: united states, business planning",DEMOGRAPHICS AND STATISTICS,http://www.bea.gov/newsreleases/glance.htm
U.S. Trade Statistics,"The International Trade Administration, U.S. Department of Commerce, provides national and international trade statistics, small and medium-sized exporting companies, manufacturing and sub-national trade statistics (including metroplitan areas), laws, regulations and trade agreements.","international trade, regulations, laws, companies, manufacturing, jobs, employment, trade agreements",,COMPANY,http://www.trade.gov/mas/ian/tradestatistics/index.asp
ValueLine (ValueLine Investment Survey),"Provides investment research on stocks, mutual funds, options and convertibles, and offers a family of no-load mutual funds.","analyst reports, finance & investment, securities, mutual funds, stocks, finance, company profiles",,COMPANY;FINANCE AND INVESTMENT,http://proxy-um.researchport.umd.edu/login?url=http://www3.valueline.com/is/rc.aspx
Volunteer Today,The electronic gazette for volunteerism.,"volunteerism, career",,CAREER,http://www.volunteertoday.com/
Wachowicz's Web World- Websites for Discerning Finance Students,"Divided into eight sections: Introduction to Financial Management; Tools of Financial Analysis and Planning; Working Capital Management; Investment in Capital Assets; The Cost of Capital; Capital and Structure, and Dividend Policy; Intermediate and Long-Term Financing; and Special Areas of Financial Management.","finance, investment, financial analysis, capital",,FINANCE AND INVESTMENT,http://web.utk.edu/~jwachowi/wacho_world.html
Wall Street Journal (Factiva),"Click on News Pages (top of screen) to get access to major business newspapers. Factiva provides access to over 8,000 business sources, including national and international newspapers, magazines, newswire services, web sites and industry (trade) sources. It covers business news articles in a wide range of topic areas: companies, industries, markets, products, brands, and general financial articles.Factiva recommends using Internet Explorer 5.01 or higher. Licensing restrictions apply on subscription databases. This database has only 12 simutaneous users. If you are unable to access, please try again.","industry research, company research, career, finance investment",,CAREER;COMPANY;FINANCE AND INVESTMENT;INDUSTRY,http://proxy-um.researchport.umd.edu/login?url=http://global.factiva.com/en/sess/login.asp?xsid=S003Wvf1WFo5DEs5DEmM9YuNTAvODFyMHmnRsIuMcNG1pRRQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQQAA
Wall Street Journal (Proquest),"A financial newspaper that provides citations, abstracts and full-text articles with in-depth coverage of national and international finance as well as political news.Full-text: January, 1984--present.","finance, news, articles, international, national",,FINANCE AND INVESTMENT,http://proxy-um.researchport.umd.edu/login?url=http://search.proquest.com/wallstreetjournal/advanced?accountid=14696
Wall Street Journal Historical (1889-1991),"In addition to the printed stories, researchers also can study the charts, stock tables, graphics, and illustrations featured in the publication.","news, history",,,http://proxy-um.researchport.umd.edu/login?url=http://search.proquest.com/hnpwallstreetjournal/advanced?accountid=14696
Wall Street Journal Interactive Edition: Franchising,This site has links to franchisor company homepages where you will find franchising opportunities information.,"franchising, companies",,COMPANY,http://online.wsj.com/public/page/news-small-business-franchising.html
Web of Science," This is the world's leading citation database with multidisciplinary coverage of over 17,000 high-impact journals in the sciences, social sciences, and arts and humanities, as well as international proceedings coverage for over 120,000 conferences. Indexes over 17,000 journals by subject keyword, author name, journal title & author affiliation. Search author abstracts when available. Powerful tools include cited reference searching, Citation Maps, and the Analyze Tool.Note: Currently works with the following browsers: IE 7 and 8, Firefox 3.6, and Safari 5.0.",,,,http://proxy-um.researchport.umd.edu/login?url=http://webofknowledge.com/WOS
Westlaw Campus Search,"Westlaw is an easy-to-use online research service that provides college and university students with access to a comprehensive collection of news and business information and law-related resources. It provides full-text access to cases from the courts of all 50 states and federal courts, statutes from all 50 states and federal statutes published in the /United States Code Annotated, American Jurisprudence 2d /legal encyclopedia, /American Law Reports, /federal regulations, law reviews and legal periodicals, plus the ability to update case law using /West's KeyCite/ system. It also covers: primary, secondary, and tertiary legal sources for U.S. federal and state jurisdictions.","state, federal, law, business law, regulations",,,http://proxy-um.researchport.umd.edu/login?url=http://www.westlaw.com/signon/default.wl?rs=IMP1.0&vr=2.0&sp=003372414%2D2000
